Candid,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,Interest Expns.,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,Regis. Mtl/Srvs.,Television Ads.
25_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
28_6111_2001,,Campgn Consuls.,,,,Fundraising,,,,Polit Contribs.,,Postage,,,,,
49_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,
51_6111_2001,,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,
51_6111_2005,,,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,,,,
51_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,,Petition Expns.,,,Postage,Print Ads,,,,Television Ads.
51_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,,,Fundraising,,Office Rent,Petition Expns.,,,Postage,,,,,
51_6111_2017,,Campgn Consuls.,,Campgn Mlngs,,Fundraising,,,,,,,,,,,
57_6111_2005,,,Campgn Lit.,,,,,,,,,,,,,,
60_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,,,
81_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,,,Television Ads.
86_6111_2017,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,,Postage,,,Radio Ads.,,Television Ads.
93_6111_2005,,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,,,Television Ads.
98_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,Television Ads.
98_6111_2009,Advance Repaymnt,,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,
98_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,,,
98_6111_2017,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,Television Ads.
148_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,Regis. Mtl/Srvs.,Television Ads.
148_6111_2005,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,Interest Expns.,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,Regis. Mtl/Srvs.,Television Ads.
148_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,
148_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,Television Ads.
148_6111_2017,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
168_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,
168_6111_2009,Advance Repaymnt,,,,,Fundraising,,,,,,Postage,Print Ads,,,,
202_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
202_6111_2005,Advance Repaymnt,,Campgn Lit.,,,Fundraising,,Office Rent,Petition Expns.,,,Postage,,Prof. Srvcs.,,,
202_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,,Print Ads,Prof. Srvcs.,,,
204_6111_2001,Advance Repaymnt,,,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,,Print Ads,,,,
204_6111_2005,Advance Repaymnt,Campgn Consuls.,,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,,Petition Expns.,Polit Contribs.,,Postage,Print Ads,,,,
204_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,,,,
204_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,Television Ads.
206_6111_2005,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
207_6111_2001,,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,,Petition Expns.,Polit Contribs.,,,Print Ads,Prof. Srvcs.,,,
207_6111_2005,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
207_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,,Petition Expns.,,,,Print Ads,Prof. Srvcs.,,,
212_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,Regis. Mtl/Srvs.,Television Ads.
214_6111_2001,,,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,,,,Television Ads.
214_6111_2005,Advance Repaymnt,,Campgn Lit.,,,Fundraising,,Office Rent,Petition Expns.,,,Postage,Print Ads,,,,Television Ads.
214_6111_2009,Advance Repaymnt,,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,,,,Postage,Print Ads,,,,Television Ads.
214_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,
214_6111_2017,Advance Repaymnt,,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,,,,
223_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,Television Ads.
223_6111_2005,,Campgn Consuls.,Campgn Lit.,,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,,Print Ads,,,,Television Ads.
223_6111_2009,,,,,,Fundraising,,Office Rent,Petition Expns.,,,,Print Ads,Prof. Srvcs.,,,
226_6111_2001,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,Interest Expns.,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,Prof. Srvcs.,Radio Ads.,,
226_6111_2005,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,Television Ads.
226_6111_2009,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,
227_6111_2013,Advance Repaymnt,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,,Polling Costs,Postage,Print Ads,Prof. Srvcs.,,,
227_6111_2017,Advance Repaymnt,,Campgn Lit.,,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,,Print Ads,,,,
228_6111_2001,,,,,,Fundraising,,,,Polit Contribs.,,,,,,,
230_6111_2001,,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,,,,,,,Postage,Print Ads,Prof. Srvcs.,,,
232_6111_2001,,Campgn Consuls.,Campgn Lit.,Campgn Mlngs,Campgn Wrkrs $$,Fundraising,,Office Rent,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,Regis. Mtl/Srvs.,
232_6111_2005,,Campgn Consuls.,,Campgn Mlngs,,Fundraising,,,Petition Expns.,Polit Contribs.,,Postage,Print Ads,Prof. Srvcs.,,,
